,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,100,PF,1562090017,74,-23.12,-134.97,69.59,21.83
1,narsaq,40,GL,1562090089,100,60.91,-46.05,50.0,9.17
2,saint-philippe,1,CA,1562090019,51,45.36,-73.48,84.99,6.93
3,sungairaya,68,ID,1562090257,85,0.7,108.9,82.91,15.39
4,barrow,48,AR,1562090083,45,-38.31,-60.23,49.07,24.07
5,port elizabeth,1,US,1562090078,48,39.31,-74.98,93.0,10.29
6,kargil,0,PK,1562090257,34,34.56,76.13,51.95,5.28
7,east london,0,ZA,1562090028,48,-33.02,27.91,62.6,6.93
8,vaini,100,IN,1562090017,85,15.34,74.49,77.69,3.83
9,nikolskoye,40,RU,1562090056,72,59.7,30.79,64.4,4.47
10,punta gorda,20,US,1562090257,62,26.93,-82.05,93.99,9.17
11,aswan,0,EG,1562090130,16,24.09,32.9,95.87,13.29
12,carutapera,100,BR,1562090094,69,-1.2,-46.02,84.17,11.01
13,ushuaia,40,AR,1562090023,86,-54.81,-68.31,33.8,14.99
14,hermanus,100,ZA,1562090018,73,-34.42,19.24,64.99,8.99
15,lincoln,0,GB,1562090058,55,53.23,-0.54,66.99,6.93
16,port hardy,90,CA,1562090100,93,50.7,-127.42,55.4,4.7
17,albany,40,US,1562089721,94,42.65,-73.75,78.01,6.93
18,qaanaaq,0,GL,1562090028,43,77.48,-69.36,49.61,2.64
19,hilo,75,US,1562089734,64,19.71,-155.08,75.99,5.82
20,avarua,25,CK,1562089860,60,-21.21,-159.78,71.6,16.11
21,gat,0,SN,1562090121,62,14.69,-16.54,84.2,12.75
22,ust-kulom,100,RU,1562090073,98,61.69,53.69,59.33,6.24
23,tuatapere,100,NZ,1562090111,85,-46.13,167.69,46.99,1.01
24,annau,75,TM,1562090259,39,37.89,58.52,78.8,4.7
25,castro,40,CL,1562090065,81,-42.48,-73.76,46.4,4.7
26,hasaki,75,JP,1562090259,100,35.73,140.83,70.0,3.36
27,vila franca do campo,40,PT,1562090058,83,37.72,-25.43,71.6,16.11
28,atar,0,MR,1562090128,7,20.52,-13.05,112.61,14.05
29,atuona,6,PF,1562090053,77,-9.8,-139.03,79.85,12.46
30,norman wells,90,CA,1562090072,82,65.28,-126.83,59.0,12.75
31,mao,40,DO,1562090179,52,19.55,-71.08,96.01,5.82
32,morant bay,20,JM,1562090259,62,17.88,-76.41,87.8,16.11
33,mar del plata,91,AR,1562089864,68,-46.43,-67.52,38.81,17.27
34,turayf,0,SA,1562090135,18,31.68,38.65,87.8,13.87
35,srednekolymsk,100,RU,1562090136,62,67.46,153.71,52.85,15.26
36,dikson,100,RU,1562090046,100,73.51,80.55,38.81,7.02
37,ancud,40,CL,1562090082,81,-41.87,-73.83,46.4,4.7
38,lagoa,0,PT,1562090077,69,37.14,-8.45,79.0,8.05
39,kidal,0,ML,1562090260,6,18.44,1.41,107.21,11.7
40,te anau,88,NZ,1562090260,87,-45.41,167.72,50.87,4.34
41,fortuna,75,US,1562090105,72,40.6,-124.16,70.0,12.75
42,port maria,20,JM,1562090261,62,18.37,-76.89,87.8,16.11
43,hithadhoo,100,MV,1562090029,70,-0.6,73.08,84.53,9.48
44,hambantota,100,LK,1562090112,83,6.12,81.12,82.91,19.71
45,rio gallegos,40,AR,1562089927,80,-51.62,-69.22,37.4,8.05
46,leningradskiy,92,RU,1562090100,98,69.38,178.42,36.83,4.18
47,cape town,75,ZA,1562090020,93,-33.93,18.42,57.0,18.34
48,richards bay,0,ZA,1562090261,52,-28.77,32.06,69.23,12.82
49,laukaa,98,FI,1562090261,87,62.42,25.95,55.99,9.17
50,rio grande,0,BR,1562090107,37,-32.03,-52.1,68.0,4.7
51,vinh,100,VN,1562090262,94,18.67,105.69,76.25,2.73
52,punta arenas,20,CL,1562090028,69,-53.16,-70.91,37.4,11.41
53,tadine,51,NC,1562090262,76,-21.55,167.88,72.47,11.41
54,port alfred,24,ZA,1562090029,44,-33.59,26.89,66.99,8.01
55,kapaa,8,US,1562089760,83,22.08,-159.32,78.8,3.36
56,karacakoy,0,TR,1562090241,69,41.4,28.38,79.0,17.22
57,cayenne,100,GF,1562090099,88,4.94,-52.33,78.8,8.05
58,cherskiy,77,RU,1562090078,74,68.75,161.3,44.39,14.67
59,lahan,0,NP,1562090263,71,26.71,86.48,83.45,6.24
60,krasnogorskoye,62,RU,1562090263,94,57.7,52.5,57.35,4.47
61,yellowknife,75,CA,1562089774,62,62.45,-114.38,55.4,23.04
62,mackay,75,CA,1562090263,54,53.65,-115.58,59.0,11.41
63,namibe,0,AO,1562090094,77,-15.19,12.15,71.03,4.38
64,belmonte,0,PT,1562090263,26,40.36,-7.35,80.01,7.23
65,san patricio,100,PY,1562090122,88,-26.98,-56.83,60.95,1.57
66,nizhniy tsasuchey,13,RU,1562090264,56,50.52,115.13,65.27,5.06
67,airai,5,TL,1562090058,82,-8.93,125.41,70.31,4.43
68,saucillo,0,MX,1562090264,17,28.03,-105.29,90.47,3.98
69,ewa beach,20,US,1562090199,78,21.32,-158.01,80.01,3.36
70,dessalines,50,HT,1562090264,76,19.26,-72.52,82.91,6.2
71,ribeira grande,40,PT,1562090047,83,38.52,-28.7,73.4,9.17
72,hobart,40,AU,1562090022,75,-42.88,147.33,44.6,6.93
73,udachnyy,75,RU,1562090264,75,66.42,112.4,42.8,6.71
74,oranjemund,0,ZA,1562090265,79,-28.55,16.43,56.09,15.23
75,garowe,29,SO,1562090265,46,8.41,48.48,84.35,23.98
76,logansport,40,US,1562090181,55,40.75,-86.36,93.0,9.17
77,turiacu,25,BR,1562090265,34,-5.01,-63.0,95.51,2.84
78,dandong,93,CN,1562090265,76,40.12,124.37,68.51,1.48
79,rumoi,89,JP,1562090265,91,43.93,141.67,57.17,9.55
80,kohat,0,PK,1562090266,27,33.6,71.44,88.31,4.72
81,huarmey,84,PE,1562090129,90,-10.07,-78.15,63.65,16.62
82,jamestown,0,AU,1562090059,88,-33.21,138.6,46.01,4.14
83,jumla,10,NP,1562090266,94,29.28,82.18,55.19,2.28
84,lorengau,9,PG,1562090061,85,-2.02,147.27,78.23,8.48
85,butaritari,83,KI,1562090024,73,3.07,172.79,84.17,7.83
86,lambarene,75,GA,1562090226,70,-0.7,10.22,78.95,3.8
87,saskylakh,9,RU,1562090057,76,71.97,114.09,41.87,4.43
88,katsuura,75,JP,1562090080,100,33.93,134.5,71.6,5.82
